CountryCode,Region,IncomeGroup,SpecialNotes,TableName
BGR,Europe & Central Asia,Upper middle income,,Bulgaria
BIH,Europe & Central Asia,Upper middle income,,Bosnia and Herzegovina
BLR,Europe & Central Asia,Upper middle income,"Data before 2015Â were adjusted to reflect theÂ new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)",Belarus
BRA,Latin America & Caribbean,Upper middle income,,Brazil
BWA,Sub-Saharan Africa,Upper middle income,,Botswana
CHN,East Asia & Pacific,Upper middle income,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong; and on 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; o",China
COL,Latin America & Caribbean,Upper middle income,,Colombia
CRI,Latin America & Caribbean,Upper middle income,,Costa Rica
CUB,Latin America & Caribbean,Upper middle income,,Cuba
DMA,Latin America & Caribbean,Upper middle income,,Dominica
DOM,Latin America & Caribbean,Upper middle income,,Dominican Republic
ECU,Latin America & Caribbean,Upper middle income,,Ecuador
FJI,East Asia & Pacific,Upper middle income,,Fiji
GAB,Sub-Saharan Africa,Upper middle income,,Gabon
GEO,Europe & Central Asia,Upper middle income,"Includes self-governed areas only, which mostly exclude Abkhazia and South Ossetia, but small areas in Abkhazia and South Ossetia are included before 2008 or 2009 because of the changes in self-governed areas.",Georgia
GNQ,Sub-Saharan Africa,Upper middle income,,Equatorial Guinea
GRD,Latin America & Caribbean,Upper middle income,,Grenada
GTM,Latin America & Caribbean,Upper middle income,,Guatemala
GUY,Latin America & Caribbean,Upper middle income,,Guyana
IRQ,Middle East & North Africa,Upper middle income,,Iraq
JAM,Latin America & Caribbean,Upper middle income,,Jamaica
JOR,Middle East & North Africa,Upper middle income,,Jordan
KAZ,Europe & Central Asia,Upper middle income,,Kazakhstan
LBN,Middle East & North Africa,Upper middle income,,Lebanon
LBY,Middle East & North Africa,Upper middle income,,Libya
LCA,Latin America & Caribbean,Upper middle income,,St. Lucia
MDA,Europe & Central Asia,Upper middle income,"Excluding Transnistria. For 1950-94, World Bank estimates using UN World Population Prospects' growth rates of whole Moldova.",Moldova
MDV,South Asia,Upper middle income,,Maldives
MEX,Latin America & Caribbean,Upper middle income,,Mexico
MHL,East Asia & Pacific,Upper middle income,Fiscal year ends on September 30; reporting period for national accounts data: FY.,Marshall Islands
MKD,Europe & Central Asia,Upper middle income,,North Macedonia
MNE,Europe & Central Asia,Upper middle income,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005.",Montenegro
MUS,Sub-Saharan Africa,Upper middle income,,Mauritius
MYS,East Asia & Pacific,Upper middle income,,Malaysia
NAM,Sub-Saharan Africa,Upper middle income,Fiscal year end: March 31; reporting period for national accounts data: CY.,Namibia
PAN,Latin America & Caribbean,Upper middle income,,Panama
PER,Latin America & Caribbean,Upper middle income,,Peru
PRY,Latin America & Caribbean,Upper middle income,,Paraguay
ROU,Europe & Central Asia,Upper middle income,,Romania
RUS,Europe & Central Asia,Upper middle income,,Russian Federation
SRB,Europe & Central Asia,Upper middle income,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators, such as those series for which data appear only for Serbia and not Montenegro--",Serbia
SUR,Latin America & Caribbean,Upper middle income,,Suriname
THA,East Asia & Pacific,Upper middle income,Fiscal year end: September 30; reporting period for national accounts data: CY.,Thailand
TKM,Europe & Central Asia,Upper middle income,,Turkmenistan
TON,East Asia & Pacific,Upper middle income,Fiscal year end: June 30; reporting period for national accounts data: FY.,Tonga
TUR,Europe & Central Asia,Upper middle income,,Turkey
TUV,East Asia & Pacific,Upper middle income,,Tuvalu
VCT,Latin America & Caribbean,Upper middle income,,St. Vincent and the Grenadines
XKX,Europe & Central Asia,Upper middle income,,Kosovo
ZAF,Sub-Saharan Africa,Upper middle income,Fiscal year end: March 31; reporting period for national accounts data: CY.,South Africa
